USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.8  0.0  22232 13332 ?        Ss   22:45   0:01 /sbin/init
root         172  0.0  0.0      0     0 ?        I<   22:45   0:00 [kworker/u67:0-hci0]
root         173  0.0  0.0      0     0 ?        I<   22:45   0:00 [kworker/u68:0-ttm]
root         174  0.0  0.0      0     0 ?        I<   22:45   0:00 [kworker/u69:0-ttm]
root         175  0.0  0.0      0     0 ?        I<   22:45   0:00 [kworker/0:1H-kblockd]
root         176  0.0  0.0      0     0 ?        I    22:45   0:00 [kworker/1:2]
root         178  0.0  0.0      0     0 ?        I    22:45   0:00 [kworker/2:2-cgroup_destroy]
root         181  0.0  0.0      0     0 ?        I    22:45   0:00 [kworker/2:3-cgroup_destroy]
root         215  0.0  0.0      0     0 ?        I    22:45   0:00 [kworker/13:1-events]
root         220  0.0  0.0      0     0 ?        I<   22:45   0:00 [kworker/15:1H-kblockd]
root         232  0.0  0.0      0     0 ?        I    22:45   0:00 [kworker/6:1-cgwb_release]
root         233  0.0  0.0      0     0 ?        I<   22:45   0:00 [kworker/4:1H-kblockd]
root         245  0.0  0.0      0     0 ?        I<   22:45   0:00 [kworker/7:1H-kblockd]
root         246  0.0  0.0      0     0 ?        I<   22:45   0:00 [kworker/11:1H-kblockd]
root         247  0.0  0.0      0     0 ?        I    22:45   0:00 [kworker/5:2-events]
root         249  0.0  0.0      0     0 ?        I<   22:45   0:00 [kworker/9:1H-kblockd]
root         250  0.0  0.0      0     0 ?        I<   22:45   0:00 [kworker/3:1H-kblockd]
root         258  0.0  0.0      0     0 ?        I<   22:45   0:00 [kworker/R-nvme-wq]
root         259  0.0  0.0      0     0 ?        I<   22:45   0:00 [kworker/R-nvme-reset-wq]
root         260  0.0  0.0      0     0 ?        I<   22:45   0:00 [kworker/R-nvme-delete-wq]
root         262  0.0  0.0      0     0 ?        I<   22:45   0:00 [kworker/R-nvme-auth-wq]
root         263  0.0  0.0      0     0 ?        I<   22:45   0:00 [kworker/8:1H-kblockd]
root         264  0.0  0.0      0     0 ?        I    22:45   0:00 [kworker/u65:2-ext4-rsv-conversion]
root         265  0.0  0.0      0     0 ?        I    22:45   0:00 [kworker/u65:3-ext4-rsv-conversion]
root         266  0.0  0.0      0     0 ?        I    22:45   0:00 [kworker/u65:4-kvfree_rcu_reclaim]
root         267  0.0  0.0      0     0 ?        I<   22:45   0:00 [kworker/6:1H-kblockd]
root         268  0.0  0.0      0     0 ?        I<   22:45   0:00 [kworker/5:1H-kblockd]
root         269  0.0  0.0      0     0 ?        I<   22:45   0:00 [kworker/1:1H-kblockd]
root         270  0.0  0.0      0     0 ?        I<   22:45   0:00 [kworker/10:1H-kblockd]
root         271  0.0  0.0      0     0 ?        I    22:45   0:00 [kworker/9:1]
root         272  0.0  0.0      0     0 ?        I    22:45   0:00 [kworker/9:2-events]
root         273  0.0  0.0      0     0 ?        I<   22:45   0:00 [kworker/12:1H-kblockd]
root         274  0.0  0.0      0     0 ?        I<   22:45   0:00 [kworker/13:1H-kblockd]
root         275  0.0  0.0      0     0 ?        I    22:45   0:00 [kworker/7:1-mm_percpu_wq]
root         276  0.0  0.0      0     0 ?        I<   22:45   0:00 [kworker/R-ktpacpid]
root         277  0.0  0.0      0     0 ?        I    22:45   0:00 [kworker/9:3]
root         280  0.0  0.0      0     0 ?        I    22:45   0:00 [kworker/15:1-mm_percpu_wq]
root         281  0.0  0.0      0     0 ?        I    22:45   0:00 [kworker/15:2-events]
root         282  0.0  0.0      0     0 ?        I<   22:45   0:00 [kworker/R-amdgpu-reset-dev]
root         283  0.0  0.0      0     0 ?        I<   22:45   0:00 [kworker/R-ttm]
root         284  0.0  0.0      0     0 ?        I<   22:45   0:00 [kworker/R-amdgpu_dm_hpd_rx_offload_wq]
root         285  0.0  0.0      0     0 ?        I<   22:45   0:00 [kworker/R-amdgpu_dm_hpd_rx_offload_wq]
root         286  0.0  0.0      0     0 ?        I<   22:45   0:00 [kworker/R-amdgpu_dm_hpd_rx_offload_wq]
root         287  0.0  0.0      0     0 ?        I<   22:45   0:00 [kworker/R-dm_vblank_control_workqueue]
root         288  0.0  0.0      0     0 ?        S    22:45   0:00 [card1-crtc0]
root         289  0.0  0.0      0     0 ?        S    22:45   0:00 [card1-crtc1]
root         290  0.0  0.0      0     0 ?        S    22:45   0:00 [card1-crtc2]
root         291  0.0  0.0      0     0 ?        S    22:45   0:00 [card1-crtc3]
root         292  0.0  0.0      0     0 ?        I<   22:45   0:00 [kworker/R-gfx]
root         293  0.0  0.0      0     0 ?        I<   22:45   0:00 [kworker/R-comp_1.0.0]
root         294  0.0  0.0      0     0 ?        I<   22:45   0:00 [kworker/R-comp_1.1.0]
root         295  0.0  0.0      0     0 ?        I<   22:45   0:00 [kworker/R-comp_1.2.0]
root         296  0.0  0.0      0     0 ?        I<   22:45   0:00 [kworker/R-comp_1.3.0]
root         297  0.0  0.0      0     0 ?        I<   22:45   0:00 [kworker/R-comp_1.0.1]
root         298  0.0  0.0      0     0 ?        I<   22:45   0:00 [kworker/R-comp_1.1.1]
root         299  0.0  0.0      0     0 ?        I<   22:45   0:00 [kworker/R-comp_1.2.1]
root         300  0.0  0.0      0     0 ?        I<   22:45   0:00 [kworker/R-comp_1.3.1]
root         301  0.0  0.0      0     0 ?        I<   22:45   0:00 [kworker/R-sdma0]
root         302  0.0  0.0      0     0 ?        I<   22:45   0:00 [kworker/R-vcn_dec]
root         303  0.0  0.0      0     0 ?        I<   22:45   0:00 [kworker/R-vcn_enc0]
root         304  0.0  0.0      0     0 ?        I<   22:45   0:00 [kworker/R-vcn_enc1]
root         305  0.0  0.0      0     0 ?        I<   22:45   0:00 [kworker/R-jpeg_dec]
root         358  0.0  0.0      0     0 ?        I    22:45   0:00 [kworker/14:2-events]
root         359  0.0  0.0      0     0 ?        I    22:45   0:00 [kworker/1:3]
root         360  0.0  0.0      0     0 ?        S    22:45   0:00 [jbd2/nvme1n1p2-8]
root         361  0.0  0.0      0     0 ?        I<   22:45   0:00 [kworker/R-ext4-rsv-conversion]
root         373  0.0  0.0      0     0 ?        I    22:45   0:00 [kworker/3:2-mm_percpu_wq]
root         374  0.0  0.0      0     0 ?        I    22:45   0:00 [kworker/3:3-cgroup_destroy]
root         394  0.0  0.0      0     0 ?        I    22:45   0:00 [kworker/12:2-events]
root         395  0.0  0.0      0     0 ?        S    22:45   0:00 [psimon]
root         407  0.1  0.1  41156 16352 ?        Ss   22:45   0:00 /usr/lib/systemd/systemd-journald
root         415  0.0  0.0      0     0 ?        I    22:45   0:00 [kworker/0:2-rcu_gp]
root         423  0.0  0.0  15108  5832 ?        Ss   22:45   0:00 /usr/lib/systemd/systemd-userdbd
root         427  0.0  0.0      0     0 ?        I    22:45   0:00 [kworker/13:2-mm_percpu_wq]
